Week,1
9/12/2011,7:00 PM,"NE","MIA",7,"Dog","NE","NE","NE","NE",,38,24,-14,"Away",,"W","L",,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W",,0,"",0,"",0,"",0,"",1,"W",,1,"W",1,"W",1,"W",1,"W",1,"W",1,"W",,"","","","","","","","","","","","","","","","","W","L","","","","","","","","","","","","","","",
9/12/2011,10:15 PM,"OAK","DEN",-3,"Fav","DEN","DEN","DEN","OAK",,23,20,-3,"Away",,"W","L",,,,,,,,,,,,,,,,,,,,,,,,,,"L","L","L","W",,0,"",0,"",0,"",1,"W",0,"",,1,"L",1,"L",0,"",1,"L",0,"",0,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","L","","W","","","","",
Week,2
9/18/2011,1:00 PM,"KC","DET",-9,"Fav","KC","KC","KC","DET",,3,48,45,"Home","Week 2","L","W","Week 2",,,,,,,,,,,,,,,,,,,,,,,,"Week 2","L","L","L","W","Week 2",0,"",0,"",0,"",1,"W",0,"","Week 2",1,"L",1,"L",0,"",1,"L",0,"",0,"","Week 2","","","","","","","","","","","","","","W","","","","","","","","","","","L","","","","","","","","Week 2"
9/18/2011,1:00 PM,"OAK","BUF",-3.5,"Fav","BUF","BUF","BUF","BUF",,35,28,-7,"Away",,"W","L",,"Weekly Stats",,,,,,,,,,,,,,,,,,,,,,,,"L","L","L","L",,0,"",0,"",0,"",0,"",1,"L",,1,"L",1,"L",1,"L",1,"L",1,"L",1,"L",,"","","","","","","","","","","","","","","","","","","","L","","","","","","","","W","","","","",
9/18/2011,1:00 PM,"TB","MIN",-3,"Fav","TB","TB","MIN","MIN",,24,20,-4,"Away",,"W","L",,"David",,,,,,"Pinto",,,,,,"Nic",,,,,,"Nick",,,,,,"W","W","L","L",,0,"",0,"",0,"",0,"",0,"",,1,"W",0,"",0,"",0,"",0,"",1,"L",,"","","","","","","W","","","","","","","","L","","","","","","","","","","","","","","","","","",
9/18/2011,1:00 PM,"CHI","NO",-7,"Fav","CHI","NO","NO","NO",,13,30,17,"Home",,"L","W",,6,"-",9,"-",1,,8,"-",7,"-",1,,7,"-",8,"-",1,,7,"-",8,"-",1,,"L","W","W","W",,1,"L",0,"",0,"",0,"",0,"",,0,"",0,"",0,"",1,"W",1,"W",1,"W",,"","","","","W","","","","","","","","","","","L","","","","","","","","","","","","","","","","",
9/18/2011,1:00 PM,"BAL","TEN",6.5,"Dog","BAL","BAL","BAL","BAL",,13,26,13,"Home",,"L","W",,,,,,,,,,,,,,,,,,,,,,,,,,"L","L","L","L",,0,"",0,"",0,"",0,"",1,"L",,1,"L",1,"L",1,"L",1,"L",1,"L",1,"L",,"","","","","","","","","","","","","","","","","","","","","","","W","","","","","","","L","","",
9/18/2011,1:00 PM,"CLE","IND",3,"Dog","IND","CLE","CLE","IND",,27,19,-8,"Away",,"W","L",,"Cummulative Stats",,,,,,,,,,,,,,,,,,,,,,,,"L","W","W","L",,0,"",0,"",0,"",0,"",0,"",,0,"",0,"",1,"L",1,"W",0,"",0,"",,"","","","","","","","","","","","","","","","","","","","","L","","","","","","","","","","W","",
9/18/2011,1:00 PM,"JAC","NYJ",-9,"Fav","JAC","NYJ","JAC","NYJ",,3,32,29,"Home",,"L","W",,"David",,,,,,"Pinto",,,,,,"Nic",,,,,,"Nick",,,,,,"L","W","L","W",,0,"",0,"",0,"",0,"",0,"",,0,"",1,"L",0,"",0,"",1,"W",0,"",,"","","","","","","","","","","","","","","","","","","W","","","","","L","","","","","","","","",
